PitchNo,Date,Time,Pitcher,PitcherId,PitcherTeam,PitcherThrows,Batter,BatterId,BatterTeam,TaggedPitchType,PitchCall,ExitSpeed,PlateLocSide,PlateLocHeight,RelSpeed,SpinRate,InducedVertBreak,HorzBreak,tilt,Count,CustomGameID
1,4/1/2025,2:25.1,"Smith, Jake",1000000077,Metro City Knights,Right,"King, Drew",2000000078,Metro City Knights,Fastball,BallInDirt,82.5,0.41,2.58,97.5,2165.0,14.31,-13.9,11.9,1-1,Game003
2,4/2/2025,10:35.7,"Smith, Jake",1000000091,Metro City Knights,Right,"Rivera, Nate",2000000084,Metro City Knights,Changeup,BallCalled,82.3,-0.58,2.75,88.8,2377.0,15.06,-17.34,7.03,0-0,Game001
3,4/1/2025,7:59.8,"Lee, Chris",1000000068,Metro City Knights,Right,"King, Drew",2000000013,Metro City Knights,Changeup,InPlay,58.0,0.15,2.64,87.4,2330.0,10.61,-9.8,4.89,2-1,Game002
4,4/1/2025,8:20.1,"Johnson, Max",1000000046,Bayview Bears,Left,"Allen, Troy",2000000065,Bayview Bears,Cutter,Foul,84.5,-0.6,3.73,89.9,1885.0,9.24,-14.62,11.87,3-2,Game003
5,4/1/2025,5:23.9,"Lee, Chris",1000000093,Metro City Knights,Left,"Allen, Troy",2000000074,Metro City Knights,Curveball,InPlay,82.7,-0.49,2.18,91.9,2495.0,21.38,-8.6,7.27,3-2,Game001
6,4/2/2025,9:59.8,"Smith, Jake",1000000061,Metro City Knights,Right,"Allen, Troy",2000000050,Metro City Knights,Slider,BallInDirt,92.0,-1.13,2.23,92.7,2476.0,11.61,-19.34,9.55,1-0,Game003
7,4/1/2025,1:24.6,"Johnson, Max",1000000068,Bayview Bears,Right,"Allen, Troy",2000000037,Metro City Knights,Curveball,BallCalled,103.5,-0.74,2.19,91.3,2075.0,11.03,-8.01,7.66,1-0,Game001
8,4/1/2025,9:23.0,"Lee, Chris",1000000075,Bayview Bears,Left,"Allen, Troy",2000000063,Bayview Bears,Curveball,BallCalled,96.3,-1.08,2.22,93.1,2279.0,6.39,-5.0,6.4,3-2,Game002
9,4/1/2025,8:23.2,"Johnson, Max",1000000015,Bayview Bears,Left,"Allen, Troy",2000000097,Bayview Bears,Changeup,BallInDirt,82.3,-0.78,2.18,88.2,2299.0,12.44,-21.96,11.08,3-2,Game003
10,4/2/2025,1:07.2,"Lee, Chris",1000000089,Metro City Knights,Right,"Allen, Troy",2000000037,Bayview Bears,Curveball,BallInDirt,73.9,0.84,3.09,96.3,2252.0,9.71,-7.76,11.52,2-1,Game001
11,4/1/2025,3:32.4,"Johnson, Max",1000000089,Bayview Bears,Right,"Rivera, Nate",2000000049,Bayview Bears,Fastball,Foul,110.7,-0.76,3.21,91.8,2090.0,21.57,-2.63,8.85,1-1,Game003
12,4/1/2025,10:38.9,"Smith, Jake",1000000047,Metro City Knights,Left,"King, Drew",2000000097,Bayview Bears,Changeup,BallCalled,85.6,2.11,2.21,95.4,2066.0,19.04,-17.26,4.82,1-0,Game003
13,4/1/2025,9:27.6,"Smith, Jake",1000000084,Metro City Knights,Right,"Allen, Troy",2000000081,Metro City Knights,Fastball,InPlay,85.1,0.39,2.08,93.0,2195.0,12.25,0.04,8.91,1-1,Game003
14,4/1/2025,9:07.1,"Johnson, Max",1000000038,Metro City Knights,Right,"Rivera, Nate",2000000029,Bayview Bears,Slider,StrikeSwinging,84.8,0.15,2.74,93.4,2435.0,24.01,-7.49,10.78,2-1,Game003
15,4/2/2025,1:47.6,"Lee, Chris",1000000099,Metro City Knights,Right,"Rivera, Nate",2000000078,Bayview Bears,Changeup,StrikeSwinging,87.0,-0.69,2.22,93.7,2309.0,18.93,-14.23,7.04,3-2,Game001
16,4/1/2025,7:23.4,"Smith, Jake",1000000032,Bayview Bears,Left,"King, Drew",2000000090,Bayview Bears,Slider,BallInDirt,83.6,0.56,2.82,93.3,2126.0,13.7,-10.33,10.37,1-1,Game002
17,4/2/2025,3:43.7,"Smith, Jake",1000000093,Bayview Bears,Left,"Allen, Troy",2000000050,Metro City Knights,Changeup,Foul,79.3,-0.46,2.6,93.9,2354.0,5.0,-6.65,9.97,3-2,Game001
18,4/2/2025,6:26.2,"Smith, Jake",1000000022,Metro City Knights,Left,"King, Drew",2000000062,Bayview Bears,Cutter,StrikeSwinging,79.5,0.1,1.74,96.0,1630.0,24.16,-9.54,11.16,3-2,Game001
19,4/2/2025,1:34.4,"Johnson, Max",1000000009,Metro City Knights,Left,"Allen, Troy",2000000097,Bayview Bears,Curveball,BallCalled,84.7,2.05,3.27,92.6,2430.0,9.44,-6.77,10.24,0-0,Game001
20,4/1/2025,3:00.4,"Johnson, Max",1000000068,Metro City Knights,Left,"Rivera, Nate",2000000051,Metro City Knights,Cutter,BallInDirt,79.6,-0.08,3.4,94.1,1852.0,8.42,-15.52,8.05,1-1,Game002
21,4/2/2025,10:54.6,"Lee, Chris",1000000099,Bayview Bears,Left,"Rivera, Nate",2000000037,Bayview Bears,Slider,InPlay,77.9,0.92,2.19,91.7,2128.0,19.09,-8.98,12.39,1-1,Game003
22,4/1/2025,11:08.9,"Lee, Chris",1000000033,Metro City Knights,Left,"Rivera, Nate",2000000096,Metro City Knights,Curveball,BallInDirt,86.1,-0.56,2.31,96.3,1976.0,24.76,-18.48,9.68,3-2,Game003
23,4/2/2025,10:59.2,"Lee, Chris",1000000051,Metro City Knights,Right,"Rivera, Nate",2000000087,Metro City Knights,Changeup,InPlay,82.5,-0.03,2.64,90.0,1941.0,20.54,-10.67,9.95,2-1,Game003
24,4/2/2025,7:48.3,"Johnson, Max",1000000094,Bayview Bears,Right,"King, Drew",2000000078,Metro City Knights,Curveball,BallInDirt,100.0,1.42,2.67,97.4,2432.0,17.26,-15.42,8.13,0-0,Game002
25,4/2/2025,4:29.4,"Johnson, Max",1000000009,Bayview Bears,Right,"Allen, Troy",2000000029,Metro City Knights,Fastball,BallInDirt,58.5,-0.5,2.83,91.9,2106.0,17.38,-14.41,9.11,3-2,Game003
26,4/2/2025,7:38.3,"Lee, Chris",1000000018,Metro City Knights,Right,"Allen, Troy",2000000050,Metro City Knights,Curveball,BallInDirt,95.9,1.45,3.51,87.7,2269.0,18.41,-2.58,8.23,1-0,Game002
27,4/2/2025,7:58.2,"Lee, Chris",1000000057,Bayview Bears,Right,"King, Drew",2000000080,Bayview Bears,Fastball,InPlay,97.5,0.57,2.41,92.4,2191.0,18.04,-3.45,9.65,1-0,Game003
28,4/2/2025,6:27.1,"Johnson, Max",1000000095,Bayview Bears,Right,"Allen, Troy",2000000004,Metro City Knights,Curveball,InPlay,64.3,-0.45,2.1,90.0,2295.0,16.12,-6.35,13.42,0-0,Game003
29,4/2/2025,10:44.8,"Lee, Chris",1000000000,Metro City Knights,Right,"Rivera, Nate",2000000028,Metro City Knights,Fastball,BallInDirt,81.6,0.51,1.81,94.5,2215.0,15.42,-16.55,7.26,2-1,Game001
30,4/2/2025,5:05.3,"Smith, Jake",1000000068,Bayview Bears,Left,"Allen, Troy",2000000003,Bayview Bears,Slider,StrikeSwinging,81.3,0.78,2.13,90.0,1943.0,14.75,-11.9,6.77,3-2,Game002
31,4/1/2025,11:57.6,"Johnson, Max",1000000003,Metro City Knights,Left,"Rivera, Nate",2000000009,Metro City Knights,Cutter,Foul,70.9,0.5,2.48,90.7,2399.0,11.98,-2.72,12.94,1-1,Game001
32,4/1/2025,9:38.0,"Lee, Chris",1000000015,Bayview Bears,Right,"King, Drew",2000000055,Bayview Bears,Changeup,Foul,77.2,-1.26,3.4,86.3,2101.0,13.88,-9.15,9.58,0-0,Game001
33,4/2/2025,1:56.8,"Johnson, Max",1000000023,Metro City Knights,Right,"Allen, Troy",2000000016,Bayview Bears,Curveball,Foul,73.9,-0.58,2.24,90.6,1889.0,8.23,3.92,8.66,2-1,Game001
34,4/2/2025,4:12.8,"Smith, Jake",1000000079,Metro City Knights,Left,"King, Drew",2000000073,Bayview Bears,Cutter,InPlay,102.5,-0.2,2.61,84.7,2114.0,14.61,-7.64,12.08,1-1,Game002
35,4/2/2025,3:38.5,"Johnson, Max",1000000001,Metro City Knights,Right,"Allen, Troy",2000000016,Metro City Knights,Changeup,InPlay,94.4,-0.06,2.49,87.2,2500.0,11.05,-8.85,8.79,1-0,Game002
36,4/1/2025,8:26.8,"Johnson, Max",1000000091,Bayview Bears,Right,"Rivera, Nate",2000000083,Metro City Knights,Changeup,StrikeSwinging,97.7,0.5,3.09,94.3,2370.0,10.59,-11.85,13.65,1-0,Game003
37,4/2/2025,5:32.2,"Johnson, Max",1000000031,Metro City Knights,Left,"King, Drew",2000000087,Metro City Knights,Fastball,Foul,92.2,0.14,3.76,94.4,2130.0,15.72,-9.2,11.36,1-1,Game001
